aals,4,0.00042329999996582046,3
abarticular,11,0.0031195999999908963,9
abbotcy,7,0.0025014000002556713,14
abecedarius,11,0.0029838000009476673,8
abided,6,0.0013980999992782017,10
abjudicated,11,0.004760499999974854,17
abnegators,10,0.00360259999979462,9
abord,5,0.0011045999999623746,15
abrasives,9,0.004594199999701232,13
abscissae,9,0.0038047999987611547,11
absolving,9,0.00447110000095563,11
abstricts,9,0.0037585999998555053,10
acacetin,8,0.0021892000004299916,5
acanthological,14,0.0016452999989269301,8
acaulose,8,0.0023552999991807155,5
accessaryship,13,0.0020958000004611677,8
acclimatizing,13,0.0025318000007246155,12
accosting,9,0.00334120000115945,7
acculturative,13,0.0023254999996424885,10
acenaphthylene,14,0.00138159999914933,5
acetals,7,0.0013634000006277347,4
acetla,6,0.0011473999984445982,7
achatina,8,0.0030597999993915437,10
achomawi,8,0.003945299999031704,14
acidemia,8,0.0027777999985119095,8
acinaciform,11,0.003375899999809917,11
acocotl,7,0.0013655000002472661,5
acquaintances,13,0.00286229999983334,15
acridest,8,0.0021898999984841794,3
acrodactylum,12,0.0026482000012038043,6
acrophonically,14,0.0013780999997834442,4
actiniferous,12,0.0032308000008924864,8
actinost,8,0.0021827999989909586,4
actuates,8,0.002362699999139295,6
aday,4,0.0006391999995685183,14
addebted,8,0.0032400999989476986,12
adducent,8,0.0023591999997734092,5
adenocystomatous,16,0.0008895999999367632,4
adermia,7,0.0019177000012859935,9
adib,4,0.0005161000008229166,8
adjoiner,8,0.00526009999884991,18
adm,3,0.00042919999941659626,6
admitting,9,0.0034689000003709225,8
adoptees,8,0.00266389999887906,6
adrenocorticotrophic,20,0.0004573999995045597,2
adulterating,12,0.002985499999340391,7
adventurement,13,0.0024379000005865237,10
advisor,7,0.002637999999933527,14
aeginetan,9,0.003315899999506655,9
aerial,6,0.0009270999998989282,4
aerogel,7,0.0020280999997339677,10
aerophone,9,0.003513399999064859,9
aestivates,10,0.003787699999520555,14
affecting,9,0.004145000000789878,11
affixable,9,0.0055322999996860744,17
affronty,8,0.0037926000004517846,12
afros,5,0.0010629000007611467,13
afterloss,9,0.004286600000341423,11
aftwards,8,0.003981099998782156,14
agaricin,8,0.0029178000004321802,9
agenized,8,0.004520699998465716,16
aggravatingly,13,0.0024640999999974156,10
agists,6,0.0015229000000545057,11
agnized,7,0.0030803999998170184,18
agr,3,0.0005623000015475554,16
agriotype,9,0.003936299999622861,9
aguish,6,0.0014489000004687114,10
aidful,6,0.0016733000011299737,13
